8.751219512195121979e+02,1.966304347826086882e+02,9.751678109169006348e-01
8.897560975609756042e+02,2.347826086956521578e+02,8.945452570915222168e-01
8.370731707317073642e+02,2.406521739130434696e+02,9.348173141479492188e-01
8.341463414634146147e+02,3.286956521739130608e+02,9.631614685058593750e-01
8.312195121951219789e+02,4.079347826086956843e+02,9.560698866844177246e-01
9.424390243902438442e+02,2.289130434782608745e+02,8.556430935859680176e-01
9.512195121951219789e+02,2.876086956521739353e+02,8.661626577377319336e-01
9.365853658536584589e+02,2.025000000000000000e+02,8.474596142768859863e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.634146341463415411e+02,3.961956521739130608e+02,7.556543350219726562e-01
8.868292682926829684e+02,5.253260869565217490e+02,8.711211085319519043e-01
9.102439024390243958e+02,6.045652173913043725e+02,9.342781305313110352e-01
9.424390243902438442e+02,3.903260869565217490e+02,7.732802629470825195e-01
9.600000000000000000e+02,5.194565217391304941e+02,8.557101488113403320e-01
9.746341463414632926e+02,5.986956521739131176e+02,9.482666850090026855e-01
8.721951219512195621e+02,1.819565217391304373e+02,9.817624688148498535e-01
8.868292682926829684e+02,1.907608695652174049e+02,9.391114711761474609e-01
8.721951219512195621e+02,1.731521739130434696e+02,7.425686120986938477e-01
9.160975609756096674e+02,1.878260869565217206e+02,8.911458253860473633e-01
